config,sa_min,sa_max,sa_mean,sa_var,sa_time,aco_min,aco_max,aco_mean,aco_var,aco_time
original,660250.0,662301.0,661293.8,1030526.56,0.010559716224670411,659741.0,662301.0,662136.2,232962.56,1.7382595682144164
competitiva,660250.0,662301.0,660947.34,943961.2644,0.008635635375976563,661165.0,662301.0,662164.68,136276.3776,1.7411111783981323
