Métrica,SA,ACO
Min Valor,660250.0,659114.0
Max Valor,662301.0,662301.0
Media Valor,661252.78,662123.66
Varianza Valor,1030345.2516000001,300739.50440000003
Tiempo Medio (s),0.010969605445861817,1.8272574996948243
Varianza Tiempo,1.362902423829837e-06,0.00568458810852726
Iter. Convergencia Media,336.76,358.22
Iter. Convergencia Varianza,139320.38239999997,52615.97160000001
