Metodo,Item,Cantidad,Peso,Valor
SA,2,2,1.03,40954
SA,3,7,1.46,38964
SA,4,5,1.00,47814
SA,9,1,1.01,25050
SA,13,1,1.57,41474
SA,Total,16,19.84,660250
SA,Iter.Conv.,1,,
SA,Tiempo(s),0.002,,
ACO,2,2,1.03,40954
ACO,3,4,1.46,38964
ACO,4,5,1.00,47814
ACO,11,1,1.18,31072
ACO,12,3,1.39,34993
ACO,13,1,1.57,41474
ACO,Total,16,19.81,654359
ACO,Iter.Conv.,111,,
ACO,Tiempo(s),0.366,,
